#;;;;;;;;;;;;;x;;;
demand_concession_casus_belli_jap;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_setup;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_short;Demand Chinese Concession;;;;;;;;;;;;;x
demand_concession_casus_belli_jap_desc;Take a state from China.;;;;;;;;;;;;;x
free_allied_cores;Free Allied Cores;Peuple libre;Freies Volk;;;;;;;;;;;
free_allied_cores_desc;Liberate cores belonging to an ÅòYallied countryÅòW in your sphere;Liberer un ÅòYpaysÅòW de ses oppresseurs;Befreien Sie ein ÅòYLandÅòW von seinen Unterdruckern.;;;;;;;;;;;
free_allied_cores_short;$THIRD$ acquires $STATE$;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;
free_allied_cores_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$;Prendre $STATE$ ?$RECIPIENT$ pour le rendre ?$THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zuruc
NORMAL_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
AGRESSION_WAR_FREE_ALLIED_CORE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Restoration;;;;;;;;;;;;;
demand_reparations;Demand Reparations;;;;;;;;;;;;;x
demand_reparations;Demand Reparations;;;;;;;;;;;;;x
demand_reparations_setup;Make your enemy pay reparations;;;;;;;;;;;;;x
demand_reparations_short;Make your enemy pay reparations;;;;;;;;;;;;;x
demand_reparations_desc;Force another country to pay reparations to us;;;;;;;;;;;;;x
conquest_tiny;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_setup;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_short;Tiny Conquest;;;;;;;;;;;;;x
conquest_tiny_desc;Can use on nations with <200K population before 1860, <300k between 1860-1885, <400k between 1885-1910, <500k after 1910.;;;;;;;;;;;;;x
conquest_small;Minor Conquest;;;;;;;;;;;;;x
conquest_small_setup;Minor Conquest;;;;;;;;;;;;;x
conquest_small_short;Minor Conquest;;;;;;;;;;;;;x
conquest_small_desc;Can use on nations with <500K population before 1860, <600k between 1860-1885, <800k between 1885-1910, <1.2M after 1910. ;;;;;;;;;;;;;x
acquire_small_state;Acquire small state;;;;;;;;;;;;;x
acquire_small_state_setup;Acquire $STATE$;;;;;;;;;;;;;x
acquire_small_state_short;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;x
acquire_small_state_desc;Can use on states <200K population before 1860, <300k between 1860-1885, <400k between 1885-1910, <500k after 1910.;;;;;;;;;;;;;x
negotiated_transfer;Negotiated Transfer;;;;;;;;;;;;x
negotiated_transfer_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism;;;;;;;;;;;;x
negotiated_transfer_short;$RECIPIENT$ receives $STATE$ from us;;;;;;;;;;;;;x
negotiated_transfer_setup;Transfer $STATE$ from our country to $RECIPIENT$;;;;;;;;;;;;x
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;x
demand_for_ally;Demand for ally;;;;;;;;;;;;;x
demand_for_ally_setup;Transfer $STATE$;;;;;;;;;;;;;x
demand_for_ally_short;Transfer $STATE$;;;;;;;;;;;;;x
demand_for_ally_desc;Demand a state for another nation.;;;;;;;;;;;;;x
mexican_american_war;Liberate all cores;;;;;;;;;;;;;;;;x
mexican_american_war_desc;Liberate your country from its oppressors;;;;;;;;;;;;;x
mexican_american_war_setup;Acquires all core territory;;;;;;;;;;;;;x
mexican_american_war_short;Acquires all core territory;;;;;;;;;;;;;x
acquire_all_cores;Liberate all cores;;;;;;;;;;;;;x
acquire_all_cores_desc;Liberate your country from its oppressors;;;;;;;;;;;;;x
acquire_all_cores_setup;Acquires all core territory;;;;;;;;;;;;;x
acquire_all_cores_short;Acquires all core territory;;;;;;;;;;;;;x
take_capital;Take Capital;;;;;;;;;;;;;x
take_capital_setup;Take capital;;;;;;;;;;;;;x
take_capital_short;Take capital of $RECIPIENT$;;;;;;;;;;;;;x
take_capital_desc;Take the capital state of a country;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_setup;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_short;Establish Small Protectorate;;;;;;;;;;;;;;;;;;;;x
establish_small_protectorate_casus_belli_desc;Annex an uncivilized nation with less than 150k POPs.;;;;;;;;;;;;;;;;;;;;x
lebensraum_cb;Lebensraum;;;;;;x,,,,,,,,
lebensraum_cb_desc;Completely annex a country in order to increase our population's living space;;;;;;x,,,,,,,,
lebensraum_cb_setup;Annex an entire nation. If achieved, our population's living space will vastly increase;;;;;;x,,,,,,,
lebensraum_cb_short;Lebensraum;;;;;;x,,,,,,,,
no_personality;ßW0 Defence ß!;;;;;;;;;;;;;;
no_background;ßW0 Attack ß!;;;;;;;;;;;;;;
attack_1.1;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.2;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.3;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.4;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.5;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.6;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.7;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.8;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.9;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.10;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.11;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.12;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.13;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.14;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.15;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.16;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.17;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.18;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.19;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.20;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.21;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.22;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.23;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.24;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.25;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.26;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.27;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.28;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.29;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.30;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.31;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.32;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.33;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.34;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.35;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.36;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.37;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.38;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.39;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.40;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.41;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.42;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.43;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.44;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.45;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.46;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.47;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.48;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.49;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.50;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.51;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.52;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.53;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.54;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.55;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.56;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.57;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.58;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.59;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.60;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.61;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.62;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.63;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.64;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.65;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.66;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.67;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.68;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.69;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.70;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.71;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.72;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.73;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.74;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.75;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.76;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.77;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.78;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.79;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.80;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.81;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.82;+1 Attack ß!;;;;;;;;;;;;;;
attack_1.83;+1 Attack ß!;;;;;;;;;;;;;;
